# timestep  xRg^2        yRg^2           zRg^2           Rg^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  29100000  21.2882145418   8.5690205827   8.4324188974  38.2896540218 116.8279956900 149.6389492900   5.6839328100 272.1508777900   0.3409375555   0.3227583841   0.3638557023   1.0275516419
  29200000   2.8343887739  18.6537977029   8.8377933563  30.3259798331   3.5948160000  82.6390083600   1.3574580100  87.5912823700   0.3677864311   0.3627914994   0.2849406171   1.0155185476
  29300000   9.8240177376  11.2243038462  10.6066922544  31.6550138382  32.8283161600 173.4251948100   0.3101376100 206.5636485800   0.3359864224   0.3183601290   0.3484311104   1.0027776618
  29400000   6.3017240743  26.6874941312   2.6229822698  35.6122004753   1.3691340100 462.3618067600   6.9363756900 470.6673164600   0.4016712151   0.3005834287   0.3362321908   1.0384868345
  29500000   6.4913607562  35.0028553232   9.7480129633  51.2422290426   8.7752212900 190.8072568900 147.4718784400 347.0543566200   0.2888522852   0.4399289817   0.3089964184   1.0377776852
  29600000  15.0818553703  10.0333343131   9.1004010377  34.2155907211 110.4727123600  85.2329629089  47.2010220900 242.9066973589   0.3373425257   0.3067044514   0.3773227944   1.0213697715
  29700000  10.2423738141  31.5147201630  16.9644785975  58.7215725746  62.3673472900 276.8130612900  73.1931580900 412.3735666700   0.3012361173   0.3425941150   0.3840195052   1.0278497375
  29800000   4.2751434477  30.3667778540  33.7035867607  68.3455080624  14.1616742400  33.6991860100 271.9893624100 319.8502226600   0.2689810681   0.3681420699   0.3705448417   1.0076679797
  29900000  19.1320346865  20.0585881387   3.9742380303  43.1648608555   0.1803700900 107.5389740100  13.6759436100 121.3952877100   0.3510648928   0.3301438033   0.3438560229   1.0250647191
  30000000   7.4064304241   5.4699192291  14.9092398060  27.7855894592   2.2623168100  45.2319467209   0.1497690000  47.6440325309   0.3545047037   0.3190089251   0.3636260147   1.0371396436
  30100000  37.4351509222  10.6154023017   4.3243326252  52.3748858491 303.9896860900  33.9504328900  29.0380876900 366.9782066700   0.3248748807   0.3498767637   0.3483879229   1.0231395674
  30200000  38.1442711400   5.8430458309   9.0791504319  53.0664674027 428.9517343225   3.7624360900 104.2420580100 536.9562284225   0.3802721862   0.3241525652   0.3313059862   1.0357307375
  30300000  90.7807801367   6.9460103183  12.4677152576 110.1945057126 791.0100000100  16.3806372900  80.5829382400 887.9735755400   0.3573793827   0.3683223076   0.3158355438   1.0415372341
