# timestep  xRg^2        yRg^2           zRg^2           Rg,xy^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  112900000  69.7083684657  72.8404297939   0.0000000000 142.5487982596 910.8746524900 708.0921000000   0.4195424938 1619.3862949838   0.3910967581   0.3306893178   0.3278502972   1.0496363730
  113000000  33.7662120040  39.9122909940   0.0000000000  73.6785029979  30.8025000000 213.6274560000   0.5966635536 245.0266195536   0.4127165055   0.3222814598   0.3071636745   1.0421616398
  113100000  44.3324977210  14.1822454240   0.0000000000  58.5147431450 325.5498490000 143.1133690000  20.2276861504 488.8909041504   0.3381955642   0.3626016600   0.3566493732   1.0574465975
  113200000  15.7312651919  24.0919601023   0.0000000000  39.8232252942  12.9477628900 243.8875656100   7.3343472400 264.1696757400   0.3835069803   0.3257692783   0.3244970263   1.0337732848
  113300000   9.6139453600  31.4991848451   0.0000000000  41.1131302050  30.3964768900 230.3716840000 143.3541657636 404.1223266536   0.3496459981   0.3078200543   0.3615557823   1.0190218347
  113400000   8.7071834049  14.7669568033   0.0000000000  23.4741402083   5.0077488400  63.6756120900 295.4943466226 364.1777075526   0.3742484166   0.3150016761   0.3226797706   1.0119298633
  113500000  15.7593945301  16.4611349124   0.0000000000  32.2205294425  33.2998243600 334.1839924900   5.8801400100 373.3639568600   0.3020110721   0.3548036425   0.3758099548   1.0326246695
  113600000   5.0050046827   7.2411475783   0.0000000000  12.2461522610   4.4276576400  67.0744620100 196.3860298884 267.8881495384   0.3264311846   0.3444561033   0.3439222449   1.0148095329
  113700000  31.0051621812   4.3765949893   0.0000000000  35.3817571705  47.9459304900  32.8122752400  26.1294768900 106.8876826200   0.3125103223   0.3322097279   0.3777276553   1.0224477055
  113800000   8.8076766878  10.9143307760   0.0000000000  19.7220074638 100.5888643600  24.7735152900  20.1771656100 145.5395452600   0.3191251016   0.3523091052   0.3687304078   1.0401646145
  113900000   7.6592671771  25.8288141789   0.0000000000  33.4880813559   7.0724083600 122.3833312900   7.1776839744 136.6334236244   0.3518198931   0.3167535346   0.3753847605   1.0439581883
  114000000  24.3247141471  15.5592763437   0.0000000000  39.8839904908 137.4451416900  54.0548448400   1.6848040000 193.1847905300   0.3634126686   0.3469187651   0.3258214754   1.0361529090
  114100000  14.2398190053  42.9249921474   0.0000000000  57.1648111528 190.8210704400 180.6524164900 468.3012856729 839.7747726029   0.3311119798   0.3837035348   0.3113191203   1.0261346349
  114200000  12.5229827784  23.7309524408   0.0000000000  36.2539352192  41.6321752900 242.5432464400   5.3647824400 289.5402041700   0.3611551225   0.3734840958   0.3039710760   1.0386102942
  114300000  15.1601697702   5.0394630575   0.0000000000  20.1996328277 145.0097640000   4.5016108900  35.0387044225 184.5500793125   0.3943627673   0.3469100930   0.2920405927   1.0333134530
  114400000  35.0883723025  33.4333537231   0.0000000000  68.5217260255 390.1968115600 116.0920051600 124.7103760644 630.9991927844   0.3362855903   0.3660798087   0.3472454927   1.0496108917
  114500000  15.6546172155  20.4039263693   0.0000000000  36.0585435848 168.6907416100  55.6829364100   0.7473602500 225.1210382700   0.3363023268   0.3425736637   0.3386273757   1.0175033662
  114600000  14.1976784080  41.2342694806   0.0000000000  55.4319478885 140.3300852100 296.4491932900   5.2786900516 442.0579685516   0.3412097682   0.3841619866   0.2994305416   1.0248022964
  114700000  36.4633077370   7.2634960160   0.0000000000  43.7268037530 239.4799580196   1.5470384400   0.7110536976 241.7380501572   0.3918854507   0.3578700053   0.2882203432   1.0379757992
  114800000  33.1088918408  48.0537487980   0.0000000000  81.1626406388 293.5907475601 552.0667152100  12.2319466564 857.8894094265   0.4038606753   0.3551066746   0.2681449420   1.0271122920
  114900000  17.0365309401  11.5649609626   0.0000000000  28.6014919027  77.7782886400   7.1856163600  35.6958451600 120.6597501600   0.3509180394   0.3279054638   0.3741758986   1.0529994019
  115000000  10.3475209194 102.1348413366   0.0000000000 112.4823622559 100.5066400900 925.5589290000   1.8814511556 1027.9470202456   0.3390940738   0.3612658428   0.3108598583   1.0112197749
  115100000   5.8257750583  31.9592073807   0.0000000000  37.7849824390   6.0752390400 268.3830297600   4.3518966544 278.8101654544   0.3463342889   0.3586931111   0.3111340524   1.0161614524
  115200000  25.2057714182  21.6270554890   0.0000000000  46.8328269072  62.5079984400 179.5117632400  71.6777277129 313.6974893929   0.3864247242   0.3435777404   0.2885760346   1.0185784993
  115300000  22.0022138711  56.6404524379   0.0000000000  78.6426663090 112.8438798400 834.5627654400   1.6881025329 949.0947478129   0.4206608822   0.3661536087   0.2395850448   1.0263995357
